"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score","average_score"
"male","group E","bachelor's degree","standard","completed","100","100","100","100.00"
"female","group E","bachelor's degree","standard","none","100","100","100","100.00"
"female","group E","associate's degree","standard","none","100","100","100","100.00"
"female","group E","bachelor's degree","standard","completed","99","100","100","99.67"
"female","group D","some high school","standard","completed","97","100","100","99.00"
"female","group D","some college","standard","none","98","100","99","99.00"
"female","group C","bachelor's degree","standard","completed","96","100","100","98.67"
"male","group D","some college","standard","completed","100","97","99","98.67"
"male","group E","associate's degree","free/reduced","completed","100","100","93","97.67"
"female","group E","master's degree","standard","completed","94","99","100","97.67"
